target entry name	locus type
WeinellEntry3174	short exon fragment
WeinellEntry3175	short exon fragment
WeinellEntry3176	short exon fragment
WeinellEntry3177	short exon fragment
WeinellEntry3178	short exon fragment
WeinellEntry3179	short exon fragment
WeinellEntry3180	short exon fragment
WeinellEntry3181	short exon fragment
WeinellEntry3182	short exon fragment
WeinellEntry3183	short exon fragment
WeinellEntry3184	short exon fragment
WeinellEntry3185	short exon fragment
WeinellEntry3186	short exon fragment
WeinellEntry3187	short exon fragment
WeinellEntry3188	short exon fragment
WeinellEntry3189	short exon fragment
WeinellEntry3190	short exon fragment
WeinellEntry3191	short exon fragment
WeinellEntry3192	short exon fragment
WeinellEntry3193	short exon fragment
WeinellEntry3194	short exon fragment
WeinellEntry3195	short exon fragment
WeinellEntry3196	short exon fragment
WeinellEntry3197	short exon fragment
WeinellEntry3198	short exon fragment
WeinellEntry3199	short exon fragment
WeinellEntry3200	short exon fragment
WeinellEntry3201	short exon fragment
WeinellEntry3202	short exon fragment
WeinellEntry3203	short exon fragment
WeinellEntry3204	short exon fragment
WeinellEntry3205	short exon fragment
WeinellEntry3206	short exon fragment
WeinellEntry3207	short exon fragment
WeinellEntry3208	short exon fragment
WeinellEntry3209	short exon fragment
WeinellEntry3210	short exon fragment
WeinellEntry3211	short exon fragment
WeinellEntry3212	short exon fragment
WeinellEntry3213	short exon fragment
WeinellEntry3214	short exon fragment
WeinellEntry3215	short exon fragment
WeinellEntry3216	short exon fragment
WeinellEntry3217	short exon fragment
WeinellEntry3219	short exon fragment
WeinellEntry3220	short exon fragment
WeinellEntry3221	short exon fragment
WeinellEntry3222	short exon fragment
WeinellEntry3223	short exon fragment
WeinellEntry3224	short exon fragment
WeinellEntry3225	short exon fragment
WeinellEntry3226	short exon fragment
WeinellEntry3227	short exon fragment
WeinellEntry3228	short exon fragment
WeinellEntry3229	short exon fragment
WeinellEntry3230	short exon fragment
WeinellEntry3231	short exon fragment
WeinellEntry3232	short exon fragment
WeinellEntry3233	short exon fragment
WeinellEntry3234	short exon fragment
WeinellEntry3235	short exon fragment
WeinellEntry3236	short exon fragment
WeinellEntry3237	short exon fragment
WeinellEntry3238	short exon fragment
WeinellEntry3239	short exon fragment
WeinellEntry3240	short exon fragment
WeinellEntry3241	short exon fragment
WeinellEntry3242	short exon fragment
WeinellEntry3243	short exon fragment
WeinellEntry3244	short exon fragment
WeinellEntry3245	short exon fragment
WeinellEntry3246	short exon fragment
WeinellEntry3247	short exon fragment
WeinellEntry3248	short exon fragment
