target entry name	locus type
WeinellEntry2144	REE
WeinellEntry2145	REE
WeinellEntry2146	REE
WeinellEntry2147	REE
WeinellEntry2148	REE
WeinellEntry2149	REE
WeinellEntry2150	REE
WeinellEntry2151	REE
WeinellEntry2152	REE
WeinellEntry2153	UCE
WeinellEntry2154	UCE
WeinellEntry2155	UCE
WeinellEntry2156	UCE
WeinellEntry2157	UCE
WeinellEntry2158	UCE
WeinellEntry2159	UCE
WeinellEntry2160	UCE
WeinellEntry2161	UCE
WeinellEntry2162	UCE
WeinellEntry2163	UCE
WeinellEntry2164	UCE
WeinellEntry2165	UCE
WeinellEntry2166	UCE
WeinellEntry2167	UCE
WeinellEntry2168	UCE
WeinellEntry2169	UCE
WeinellEntry2170	UCE
WeinellEntry2171	UCE
WeinellEntry2172	UCE
WeinellEntry2173	UCE
WeinellEntry2174	UCE
WeinellEntry2175	UCE
WeinellEntry2176	UCE
WeinellEntry2177	UCE
WeinellEntry2178	UCE
WeinellEntry2179	UCE
WeinellEntry2180	UCE
WeinellEntry2181	UCE
WeinellEntry2182	UCE
WeinellEntry2183	UCE
WeinellEntry2184	UCE
WeinellEntry2185	UCE
WeinellEntry2186	UCE
WeinellEntry2187	UCE
WeinellEntry2188	UCE
WeinellEntry2189	UCE
WeinellEntry2190	UCE
WeinellEntry2191	UCE
WeinellEntry2192	UCE
WeinellEntry2193	UCE
WeinellEntry2194	UCE
WeinellEntry2195	UCE
WeinellEntry2196	UCE
WeinellEntry2197	UCE
WeinellEntry2198	UCE
WeinellEntry2199	UCE
WeinellEntry2200	UCE
WeinellEntry2201	UCE
WeinellEntry2202	UCE
WeinellEntry2203	UCE
WeinellEntry2204	UCE
WeinellEntry2205	UCE
WeinellEntry2206	UCE
WeinellEntry2207	UCE
WeinellEntry2208	UCE
WeinellEntry2209	UCE
WeinellEntry2210	UCE
WeinellEntry2211	UCE
WeinellEntry2212	UCE
WeinellEntry2213	UCE
WeinellEntry2214	UCE
WeinellEntry2215	UCE
WeinellEntry2216	UCE
WeinellEntry2217	UCE
WeinellEntry2218	UCE
WeinellEntry2219	UCE
WeinellEntry2220	UCE
WeinellEntry2221	UCE
WeinellEntry2222	UCE
WeinellEntry2223	UCE
WeinellEntry2224	UCE
WeinellEntry2225	UCE
WeinellEntry2226	UCE
WeinellEntry2227	UCE
WeinellEntry2228	UCE
WeinellEntry2229	UCE
WeinellEntry2230	UCE
WeinellEntry2231	UCE
WeinellEntry2232	UCE
WeinellEntry2233	UCE
WeinellEntry2234	UCE
WeinellEntry2235	UCE
WeinellEntry2236	UCE
WeinellEntry2237	UCE
WeinellEntry2238	UCE
WeinellEntry2239	UCE
WeinellEntry2240	UCE
WeinellEntry2241	UCE
WeinellEntry2242	UCE
WeinellEntry2243	UCE
WeinellEntry2244	UCE
WeinellEntry2245	UCE
WeinellEntry2246	UCE
WeinellEntry2247	UCE
WeinellEntry2248	UCE
WeinellEntry2249	UCE
WeinellEntry2250	UCE
WeinellEntry2251	UCE
WeinellEntry2252	UCE
WeinellEntry2253	UCE
WeinellEntry2254	UCE
WeinellEntry2255	UCE
WeinellEntry2256	UCE
WeinellEntry2257	UCE
WeinellEntry2258	UCE
WeinellEntry2259	UCE
WeinellEntry2260	UCE
WeinellEntry2261	UCE
WeinellEntry2262	UCE
WeinellEntry2263	UCE
WeinellEntry2264	UCE
WeinellEntry2265	UCE
WeinellEntry2266	UCE
WeinellEntry2267	UCE
WeinellEntry2268	UCE
WeinellEntry2269	UCE
WeinellEntry2270	UCE
WeinellEntry2271	UCE
WeinellEntry2272	UCE
WeinellEntry2273	UCE
WeinellEntry2274	UCE
WeinellEntry2275	UCE
WeinellEntry2276	UCE
WeinellEntry2277	UCE
WeinellEntry2278	UCE
WeinellEntry2279	UCE
WeinellEntry2280	UCE
WeinellEntry2281	UCE
WeinellEntry2282	UCE
WeinellEntry2283	UCE
WeinellEntry2284	UCE
WeinellEntry2285	UCE
WeinellEntry2286	UCE
WeinellEntry2287	UCE
