Bait	Species
WeinellEntry217	Thamnophis_sirtalis
WeinellEntry218	Thamnophis_sirtalis
WeinellEntry219	Thamnophis_sirtalis
WeinellEntry220	Thamnophis_sirtalis
WeinellEntry222	Thamnophis_sirtalis
WeinellEntry223	Thamnophis_sirtalis
WeinellEntry224	Thamnophis_sirtalis
WeinellEntry226	Thamnophis_sirtalis
WeinellEntry227	Thamnophis_sirtalis
WeinellEntry229	Thamnophis_sirtalis
WeinellEntry230	Thamnophis_sirtalis
WeinellEntry231	Thamnophis_sirtalis
WeinellEntry232	Thamnophis_sirtalis
WeinellEntry233	Thamnophis_sirtalis
WeinellEntry234	Thamnophis_sirtalis
WeinellEntry235	Thamnophis_sirtalis
WeinellEntry238	Thamnophis_sirtalis
WeinellEntry239	Thamnophis_sirtalis
WeinellEntry240	Thamnophis_sirtalis
WeinellEntry241	Thamnophis_sirtalis
WeinellEntry243	Thamnophis_sirtalis
WeinellEntry244	Thamnophis_sirtalis
WeinellEntry245	Thamnophis_sirtalis
WeinellEntry247	Thamnophis_sirtalis
WeinellEntry248	Thamnophis_sirtalis
WeinellEntry249	Thamnophis_sirtalis
WeinellEntry250	Thamnophis_sirtalis
WeinellEntry251	Thamnophis_sirtalis
WeinellEntry253	Thamnophis_sirtalis
WeinellEntry254	Thamnophis_sirtalis
WeinellEntry255	Thamnophis_sirtalis
WeinellEntry256	Thamnophis_sirtalis
WeinellEntry257	Thamnophis_sirtalis
WeinellEntry258	Thamnophis_sirtalis
WeinellEntry259	Thamnophis_sirtalis
WeinellEntry260	Thamnophis_sirtalis
WeinellEntry261	Thamnophis_sirtalis
WeinellEntry262	Thamnophis_sirtalis
WeinellEntry263	Thamnophis_sirtalis
WeinellEntry264	Thamnophis_sirtalis
WeinellEntry265	Thamnophis_sirtalis
WeinellEntry266	Thamnophis_sirtalis
WeinellEntry267	Thamnophis_sirtalis
WeinellEntry268	Thamnophis_sirtalis
WeinellEntry269	Thamnophis_sirtalis
WeinellEntry270	Thamnophis_sirtalis
WeinellEntry271	Thamnophis_sirtalis
WeinellEntry272	Thamnophis_sirtalis
WeinellEntry273	Thamnophis_sirtalis
WeinellEntry274	Thamnophis_sirtalis
WeinellEntry275	Thamnophis_sirtalis
WeinellEntry276	Thamnophis_sirtalis
WeinellEntry278	Thamnophis_sirtalis
WeinellEntry279	Thamnophis_sirtalis
WeinellEntry280	Thamnophis_sirtalis
WeinellEntry283	Thamnophis_sirtalis
WeinellEntry284	Thamnophis_sirtalis
WeinellEntry285	Thamnophis_sirtalis
WeinellEntry286	Thamnophis_sirtalis
WeinellEntry288	Thamnophis_sirtalis
WeinellEntry290	Thamnophis_sirtalis
WeinellEntry291	Thamnophis_sirtalis
WeinellEntry292	Thamnophis_sirtalis
WeinellEntry293	Thamnophis_sirtalis
WeinellEntry294	Thamnophis_sirtalis
WeinellEntry296	Thamnophis_sirtalis
WeinellEntry297	Thamnophis_sirtalis
WeinellEntry298	Thamnophis_sirtalis
WeinellEntry300	Thamnophis_sirtalis
WeinellEntry301	Thamnophis_sirtalis
WeinellEntry302	Thamnophis_sirtalis
WeinellEntry303	Thamnophis_sirtalis
WeinellEntry304	Thamnophis_sirtalis
WeinellEntry306	Thamnophis_sirtalis
WeinellEntry307	Thamnophis_sirtalis
WeinellEntry308	Thamnophis_sirtalis
WeinellEntry309	Thamnophis_sirtalis
WeinellEntry310	Thamnophis_sirtalis
WeinellEntry311	Thamnophis_sirtalis
WeinellEntry313	Thamnophis_sirtalis
WeinellEntry315	Thamnophis_sirtalis
WeinellEntry316	Thamnophis_sirtalis
WeinellEntry317	Thamnophis_sirtalis
WeinellEntry319	Thamnophis_sirtalis
WeinellEntry320	Thamnophis_sirtalis
WeinellEntry321	Thamnophis_sirtalis
WeinellEntry322	Thamnophis_sirtalis
WeinellEntry323	Thamnophis_sirtalis
WeinellEntry324	Thamnophis_sirtalis
WeinellEntry325	Thamnophis_sirtalis
WeinellEntry327	Thamnophis_sirtalis
WeinellEntry328	Thamnophis_sirtalis
WeinellEntry330	Thamnophis_sirtalis
WeinellEntry331	Thamnophis_sirtalis
WeinellEntry332	Thamnophis_sirtalis
WeinellEntry333	Thamnophis_sirtalis
WeinellEntry334	Thamnophis_sirtalis
WeinellEntry337	Thamnophis_sirtalis
WeinellEntry339	Thamnophis_sirtalis
WeinellEntry341	Thamnophis_sirtalis
WeinellEntry342	Thamnophis_sirtalis
WeinellEntry343	Thamnophis_sirtalis
WeinellEntry344	Thamnophis_sirtalis
WeinellEntry345	Thamnophis_sirtalis
WeinellEntry347	Thamnophis_sirtalis
WeinellEntry348	Thamnophis_sirtalis
WeinellEntry350	Thamnophis_sirtalis
WeinellEntry351	Thamnophis_sirtalis
WeinellEntry352	Thamnophis_sirtalis
WeinellEntry353	Thamnophis_sirtalis
WeinellEntry354	Thamnophis_sirtalis
WeinellEntry355	Thamnophis_sirtalis
WeinellEntry356	Thamnophis_sirtalis
WeinellEntry357	Thamnophis_sirtalis
WeinellEntry358	Thamnophis_sirtalis
WeinellEntry359	Thamnophis_sirtalis
WeinellEntry360	Thamnophis_sirtalis
WeinellEntry361	Thamnophis_sirtalis
WeinellEntry362	Thamnophis_sirtalis
WeinellEntry363	Thamnophis_sirtalis
WeinellEntry364	Thamnophis_sirtalis
WeinellEntry365	Thamnophis_sirtalis
WeinellEntry366	Thamnophis_sirtalis
WeinellEntry367	Thamnophis_sirtalis
WeinellEntry368	Thamnophis_sirtalis
WeinellEntry369	Thamnophis_sirtalis
WeinellEntry370	Thamnophis_sirtalis
WeinellEntry371	Thamnophis_sirtalis
WeinellEntry372	Thamnophis_sirtalis
WeinellEntry373	Thamnophis_sirtalis
WeinellEntry376	Thamnophis_sirtalis
WeinellEntry377	Thamnophis_sirtalis
WeinellEntry378	Thamnophis_sirtalis
WeinellEntry379	Thamnophis_sirtalis
WeinellEntry380	Thamnophis_sirtalis
WeinellEntry381	Thamnophis_sirtalis
WeinellEntry382	Thamnophis_sirtalis
WeinellEntry383	Thamnophis_sirtalis
WeinellEntry384	Thamnophis_sirtalis
WeinellEntry385	Thamnophis_sirtalis
WeinellEntry386	Thamnophis_sirtalis
WeinellEntry388	Thamnophis_sirtalis
WeinellEntry389	Thamnophis_sirtalis
WeinellEntry390	Thamnophis_sirtalis
WeinellEntry392	Thamnophis_sirtalis
WeinellEntry393	Thamnophis_sirtalis
WeinellEntry394	Thamnophis_sirtalis
WeinellEntry395	Thamnophis_sirtalis
WeinellEntry399	Thamnophis_sirtalis
WeinellEntry400	Thamnophis_sirtalis
WeinellEntry401	Thamnophis_sirtalis
WeinellEntry402	Thamnophis_sirtalis
WeinellEntry404	Thamnophis_sirtalis
WeinellEntry407	Thamnophis_sirtalis
WeinellEntry408	Thamnophis_sirtalis
WeinellEntry410	Thamnophis_sirtalis
WeinellEntry411	Thamnophis_sirtalis
WeinellEntry412	Thamnophis_sirtalis
WeinellEntry413	Thamnophis_sirtalis
WeinellEntry415	Thamnophis_sirtalis
WeinellEntry417	Thamnophis_sirtalis
WeinellEntry418	Thamnophis_sirtalis
WeinellEntry419	Thamnophis_sirtalis
WeinellEntry420	Thamnophis_sirtalis
WeinellEntry421	Thamnophis_sirtalis
WeinellEntry423	Thamnophis_sirtalis
WeinellEntry424	Thamnophis_sirtalis
WeinellEntry425	Thamnophis_sirtalis
WeinellEntry426	Thamnophis_sirtalis
WeinellEntry427	Thamnophis_sirtalis
WeinellEntry428	Thamnophis_sirtalis
WeinellEntry429	Thamnophis_sirtalis
WeinellEntry430	Thamnophis_sirtalis
WeinellEntry431	Thamnophis_sirtalis
WeinellEntry432	Thamnophis_sirtalis
WeinellEntry433	Thamnophis_sirtalis
WeinellEntry434	Thamnophis_sirtalis
WeinellEntry435	Thamnophis_sirtalis
WeinellEntry436	Thamnophis_sirtalis
WeinellEntry438	Thamnophis_sirtalis
WeinellEntry439	Thamnophis_sirtalis
WeinellEntry440	Thamnophis_sirtalis
WeinellEntry441	Thamnophis_sirtalis
WeinellEntry443	Thamnophis_sirtalis
WeinellEntry444	Thamnophis_sirtalis
WeinellEntry445	Thamnophis_sirtalis
WeinellEntry446	Thamnophis_sirtalis
WeinellEntry447	Thamnophis_sirtalis
WeinellEntry448	Thamnophis_sirtalis
WeinellEntry449	Thamnophis_sirtalis
WeinellEntry451	Thamnophis_sirtalis
WeinellEntry452	Thamnophis_sirtalis
WeinellEntry453	Thamnophis_sirtalis
WeinellEntry454	Thamnophis_sirtalis
WeinellEntry456	Thamnophis_sirtalis
WeinellEntry457	Thamnophis_sirtalis
WeinellEntry458	Thamnophis_sirtalis
WeinellEntry459	Thamnophis_sirtalis
WeinellEntry460	Thamnophis_sirtalis
WeinellEntry461	Thamnophis_sirtalis
WeinellEntry463	Thamnophis_sirtalis
WeinellEntry464	Thamnophis_sirtalis
WeinellEntry465	Thamnophis_sirtalis
WeinellEntry466	Thamnophis_sirtalis
WeinellEntry467	Thamnophis_sirtalis
WeinellEntry468	Thamnophis_sirtalis
WeinellEntry469	Thamnophis_sirtalis
WeinellEntry470	Thamnophis_sirtalis
WeinellEntry471	Thamnophis_sirtalis
WeinellEntry472	Thamnophis_sirtalis
WeinellEntry473	Thamnophis_sirtalis
WeinellEntry475	Thamnophis_sirtalis
WeinellEntry476	Thamnophis_sirtalis
WeinellEntry477	Thamnophis_sirtalis
WeinellEntry478	Thamnophis_sirtalis
WeinellEntry480	Thamnophis_sirtalis
WeinellEntry481	Thamnophis_sirtalis
WeinellEntry482	Thamnophis_sirtalis
WeinellEntry483	Thamnophis_sirtalis
WeinellEntry484	Thamnophis_sirtalis
WeinellEntry485	Thamnophis_sirtalis
WeinellEntry486	Thamnophis_sirtalis
WeinellEntry488	Thamnophis_sirtalis
WeinellEntry490	Thamnophis_sirtalis
WeinellEntry491	Thamnophis_sirtalis
WeinellEntry492	Thamnophis_sirtalis
WeinellEntry493	Thamnophis_sirtalis
WeinellEntry494	Thamnophis_sirtalis
WeinellEntry495	Thamnophis_sirtalis
WeinellEntry498	Thamnophis_sirtalis
WeinellEntry499	Thamnophis_sirtalis
WeinellEntry500	Thamnophis_sirtalis
WeinellEntry501	Thamnophis_sirtalis
WeinellEntry502	Thamnophis_sirtalis
WeinellEntry504	Thamnophis_sirtalis
WeinellEntry505	Thamnophis_sirtalis
WeinellEntry506	Thamnophis_sirtalis
WeinellEntry507	Thamnophis_sirtalis
WeinellEntry508	Thamnophis_sirtalis
WeinellEntry509	Thamnophis_sirtalis
WeinellEntry510	Thamnophis_sirtalis
WeinellEntry511	Thamnophis_sirtalis
WeinellEntry512	Thamnophis_sirtalis
WeinellEntry513	Thamnophis_sirtalis
WeinellEntry514	Thamnophis_sirtalis
WeinellEntry515	Thamnophis_sirtalis
WeinellEntry516	Thamnophis_sirtalis
WeinellEntry517	Thamnophis_sirtalis
WeinellEntry519	Thamnophis_sirtalis
WeinellEntry520	Thamnophis_sirtalis
WeinellEntry522	Thamnophis_sirtalis
WeinellEntry523	Thamnophis_sirtalis
WeinellEntry524	Thamnophis_sirtalis
WeinellEntry525	Thamnophis_sirtalis
WeinellEntry526	Thamnophis_sirtalis
WeinellEntry527	Thamnophis_sirtalis
WeinellEntry528	Thamnophis_sirtalis
WeinellEntry530	Thamnophis_sirtalis
WeinellEntry531	Thamnophis_sirtalis
WeinellEntry532	Thamnophis_sirtalis
WeinellEntry533	Thamnophis_sirtalis
WeinellEntry535	Thamnophis_sirtalis
WeinellEntry536	Thamnophis_sirtalis
WeinellEntry537	Thamnophis_sirtalis
WeinellEntry538	Thamnophis_sirtalis
WeinellEntry539	Thamnophis_sirtalis
WeinellEntry540	Thamnophis_sirtalis
WeinellEntry541	Thamnophis_sirtalis
WeinellEntry542	Thamnophis_sirtalis
WeinellEntry543	Thamnophis_sirtalis
WeinellEntry544	Thamnophis_sirtalis
WeinellEntry545	Thamnophis_sirtalis
WeinellEntry547	Thamnophis_sirtalis
WeinellEntry549	Thamnophis_sirtalis
WeinellEntry551	Thamnophis_sirtalis
WeinellEntry552	Thamnophis_sirtalis
WeinellEntry553	Thamnophis_sirtalis
WeinellEntry554	Thamnophis_sirtalis
WeinellEntry555	Thamnophis_sirtalis
WeinellEntry556	Thamnophis_sirtalis
WeinellEntry557	Thamnophis_sirtalis
WeinellEntry558	Thamnophis_sirtalis
WeinellEntry559	Thamnophis_sirtalis
WeinellEntry560	Thamnophis_sirtalis
WeinellEntry561	Thamnophis_sirtalis
WeinellEntry562	Thamnophis_sirtalis
WeinellEntry563	Thamnophis_sirtalis
WeinellEntry564	Thamnophis_sirtalis
WeinellEntry565	Thamnophis_sirtalis
WeinellEntry566	Thamnophis_sirtalis
WeinellEntry567	Thamnophis_sirtalis
WeinellEntry568	Thamnophis_sirtalis
WeinellEntry569	Thamnophis_sirtalis
WeinellEntry570	Thamnophis_sirtalis
WeinellEntry571	Thamnophis_sirtalis
WeinellEntry572	Thamnophis_sirtalis
WeinellEntry573	Thamnophis_sirtalis
WeinellEntry575	Thamnophis_sirtalis
WeinellEntry577	Thamnophis_sirtalis
WeinellEntry578	Thamnophis_sirtalis
WeinellEntry579	Thamnophis_sirtalis
WeinellEntry581	Thamnophis_sirtalis
WeinellEntry582	Thamnophis_sirtalis
WeinellEntry584	Thamnophis_sirtalis
WeinellEntry586	Thamnophis_sirtalis
WeinellEntry587	Thamnophis_sirtalis
WeinellEntry588	Thamnophis_sirtalis
WeinellEntry593	Thamnophis_sirtalis
WeinellEntry594	Thamnophis_sirtalis
WeinellEntry595	Thamnophis_sirtalis
WeinellEntry596	Thamnophis_sirtalis
WeinellEntry597	Thamnophis_sirtalis
WeinellEntry598	Thamnophis_sirtalis
WeinellEntry599	Thamnophis_sirtalis
WeinellEntry601	Thamnophis_sirtalis
WeinellEntry602	Thamnophis_sirtalis
WeinellEntry603	Thamnophis_sirtalis
WeinellEntry604	Thamnophis_sirtalis
WeinellEntry605	Thamnophis_sirtalis
WeinellEntry606	Thamnophis_sirtalis
WeinellEntry607	Thamnophis_sirtalis
WeinellEntry608	Thamnophis_sirtalis
WeinellEntry609	Thamnophis_sirtalis
WeinellEntry613	Thamnophis_sirtalis
WeinellEntry614	Thamnophis_sirtalis
WeinellEntry615	Thamnophis_sirtalis
WeinellEntry616	Thamnophis_sirtalis
WeinellEntry617	Thamnophis_sirtalis
WeinellEntry618	Thamnophis_sirtalis
WeinellEntry619	Thamnophis_sirtalis
WeinellEntry621	Thamnophis_sirtalis
WeinellEntry622	Thamnophis_sirtalis
WeinellEntry623	Thamnophis_sirtalis
WeinellEntry624	Thamnophis_sirtalis
WeinellEntry627	Thamnophis_sirtalis
WeinellEntry628	Thamnophis_sirtalis
WeinellEntry629	Thamnophis_sirtalis
WeinellEntry630	Thamnophis_sirtalis
WeinellEntry631	Thamnophis_sirtalis
WeinellEntry632	Thamnophis_sirtalis
WeinellEntry633	Thamnophis_sirtalis
WeinellEntry635	Thamnophis_sirtalis
WeinellEntry636	Thamnophis_sirtalis
WeinellEntry637	Thamnophis_sirtalis
WeinellEntry638	Thamnophis_sirtalis
WeinellEntry639	Thamnophis_sirtalis
WeinellEntry640	Thamnophis_sirtalis
WeinellEntry642	Thamnophis_sirtalis
WeinellEntry643	Thamnophis_sirtalis
WeinellEntry644	Thamnophis_sirtalis
WeinellEntry645	Thamnophis_sirtalis
WeinellEntry646	Thamnophis_sirtalis
WeinellEntry648	Thamnophis_sirtalis
WeinellEntry649	Thamnophis_sirtalis
WeinellEntry650	Thamnophis_sirtalis
WeinellEntry651	Thamnophis_sirtalis
WeinellEntry653	Thamnophis_sirtalis
WeinellEntry654	Thamnophis_sirtalis
WeinellEntry655	Thamnophis_sirtalis
WeinellEntry656	Thamnophis_sirtalis
WeinellEntry657	Thamnophis_sirtalis
WeinellEntry658	Thamnophis_sirtalis
WeinellEntry659	Thamnophis_sirtalis
WeinellEntry660	Thamnophis_sirtalis
WeinellEntry661	Thamnophis_sirtalis
WeinellEntry662	Thamnophis_sirtalis
WeinellEntry663	Thamnophis_sirtalis
WeinellEntry664	Thamnophis_sirtalis
WeinellEntry666	Thamnophis_sirtalis
WeinellEntry667	Thamnophis_sirtalis
WeinellEntry668	Thamnophis_sirtalis
WeinellEntry669	Thamnophis_sirtalis
WeinellEntry670	Thamnophis_sirtalis
WeinellEntry671	Thamnophis_sirtalis
WeinellEntry672	Thamnophis_sirtalis
WeinellEntry673	Thamnophis_sirtalis
WeinellEntry674	Thamnophis_sirtalis
WeinellEntry675	Thamnophis_sirtalis
WeinellEntry676	Thamnophis_sirtalis
WeinellEntry677	Thamnophis_sirtalis
WeinellEntry678	Thamnophis_sirtalis
WeinellEntry679	Thamnophis_sirtalis
WeinellEntry680	Thamnophis_sirtalis
WeinellEntry681	Thamnophis_sirtalis
WeinellEntry682	Thamnophis_sirtalis
WeinellEntry683	Thamnophis_sirtalis
WeinellEntry684	Thamnophis_sirtalis
WeinellEntry685	Thamnophis_sirtalis
WeinellEntry686	Thamnophis_sirtalis
WeinellEntry687	Thamnophis_sirtalis
WeinellEntry688	Thamnophis_sirtalis
WeinellEntry689	Thamnophis_sirtalis
WeinellEntry690	Thamnophis_sirtalis
WeinellEntry691	Thamnophis_sirtalis
WeinellEntry692	Thamnophis_sirtalis
WeinellEntry693	Thamnophis_sirtalis
WeinellEntry694	Thamnophis_sirtalis
WeinellEntry695	Thamnophis_sirtalis
WeinellEntry696	Thamnophis_sirtalis
WeinellEntry697	Thamnophis_sirtalis
WeinellEntry698	Thamnophis_sirtalis
WeinellEntry699	Thamnophis_sirtalis
WeinellEntry700	Thamnophis_sirtalis
WeinellEntry701	Thamnophis_sirtalis
WeinellEntry703	Thamnophis_sirtalis
WeinellEntry704	Thamnophis_sirtalis
WeinellEntry705	Thamnophis_sirtalis
WeinellEntry706	Thamnophis_sirtalis
WeinellEntry708	Thamnophis_sirtalis
WeinellEntry709	Thamnophis_sirtalis
WeinellEntry710	Thamnophis_sirtalis
WeinellEntry712	Thamnophis_sirtalis
WeinellEntry713	Thamnophis_sirtalis
WeinellEntry714	Thamnophis_sirtalis
WeinellEntry715	Thamnophis_sirtalis
WeinellEntry716	Thamnophis_sirtalis
WeinellEntry717	Thamnophis_sirtalis
WeinellEntry718	Thamnophis_sirtalis
WeinellEntry719	Thamnophis_sirtalis
