"ScaffoldName"	"RefSeq.ScaffoldAccession"
"Thamnophis_sirtalis_GCF_001077635.1_read82"	"NW_013657761.1"
"Thamnophis_sirtalis_GCF_001077635.1_read83"	"NW_013657762.1"
"Thamnophis_sirtalis_GCF_001077635.1_read84"	"NW_013657763.1"
"Thamnophis_sirtalis_GCF_001077635.1_read85"	"NW_013657764.1"
"Thamnophis_sirtalis_GCF_001077635.1_read86"	"NW_013657765.1"
"Thamnophis_sirtalis_GCF_001077635.1_read87"	"NW_013657766.1"
"Thamnophis_sirtalis_GCF_001077635.1_read88"	"NW_013657767.1"
"Thamnophis_sirtalis_GCF_001077635.1_read89"	"NW_013657768.1"
"Thamnophis_sirtalis_GCF_001077635.1_read90"	"NW_013657769.1"
"Thamnophis_sirtalis_GCF_001077635.1_read91"	"NW_013657770.1"
"Thamnophis_sirtalis_GCF_001077635.1_read92"	"NW_013657771.1"
"Thamnophis_sirtalis_GCF_001077635.1_read93"	"NW_013657772.1"
"Thamnophis_sirtalis_GCF_001077635.1_read94"	"NW_013657773.1"
"Thamnophis_sirtalis_GCF_001077635.1_read95"	"NW_013657774.1"
"Thamnophis_sirtalis_GCF_001077635.1_read96"	"NW_013657775.1"
"Thamnophis_sirtalis_GCF_001077635.1_read97"	"NW_013657776.1"
"Thamnophis_sirtalis_GCF_001077635.1_read98"	"NW_013657777.1"
"Thamnophis_sirtalis_GCF_001077635.1_read99"	"NW_013657778.1"
"Thamnophis_sirtalis_GCF_001077635.1_read100"	"NW_013657779.1"
"Thamnophis_sirtalis_GCF_001077635.1_read101"	"NW_013657780.1"
"Thamnophis_sirtalis_GCF_001077635.1_read102"	"NW_013657781.1"
"Thamnophis_sirtalis_GCF_001077635.1_read103"	"NW_013657782.1"
"Thamnophis_sirtalis_GCF_001077635.1_read104"	"NW_013657783.1"
"Thamnophis_sirtalis_GCF_001077635.1_read105"	"NW_013657784.1"
"Thamnophis_sirtalis_GCF_001077635.1_read106"	"NW_013657785.1"
"Thamnophis_sirtalis_GCF_001077635.1_read107"	"NW_013657786.1"
"Thamnophis_sirtalis_GCF_001077635.1_read108"	"NW_013657787.1"
"Thamnophis_sirtalis_GCF_001077635.1_read109"	"NW_013657788.1"
"Thamnophis_sirtalis_GCF_001077635.1_read110"	"NW_013657789.1"
"Thamnophis_sirtalis_GCF_001077635.1_read111"	"NW_013657790.1"
"Thamnophis_sirtalis_GCF_001077635.1_read112"	"NW_013657791.1"
"Thamnophis_sirtalis_GCF_001077635.1_read113"	"NW_013657792.1"
"Thamnophis_sirtalis_GCF_001077635.1_read114"	"NW_013657793.1"
"Thamnophis_sirtalis_GCF_001077635.1_read115"	"NW_013657794.1"
"Thamnophis_sirtalis_GCF_001077635.1_read116"	"NW_013657795.1"
"Thamnophis_sirtalis_GCF_001077635.1_read117"	"NW_013657796.1"
"Thamnophis_sirtalis_GCF_001077635.1_read118"	"NW_013657797.1"
"Thamnophis_sirtalis_GCF_001077635.1_read119"	"NW_013657798.1"
"Thamnophis_sirtalis_GCF_001077635.1_read120"	"NW_013657799.1"
"Thamnophis_sirtalis_GCF_001077635.1_read121"	"NW_013657800.1"
"Thamnophis_sirtalis_GCF_001077635.1_read122"	"NW_013657801.1"
"Thamnophis_sirtalis_GCF_001077635.1_read123"	"NW_013657802.1"
"Thamnophis_sirtalis_GCF_001077635.1_read124"	"NW_013657803.1"
"Thamnophis_sirtalis_GCF_001077635.1_read125"	"NW_013657804.1"
"Thamnophis_sirtalis_GCF_001077635.1_read126"	"NW_013657805.1"
"Thamnophis_sirtalis_GCF_001077635.1_read127"	"NW_013657806.1"
"Thamnophis_sirtalis_GCF_001077635.1_read128"	"NW_013657807.1"
"Thamnophis_sirtalis_GCF_001077635.1_read129"	"NW_013657808.1"
"Thamnophis_sirtalis_GCF_001077635.1_read130"	"NW_013657809.1"
"Thamnophis_sirtalis_GCF_001077635.1_read131"	"NW_013657810.1"
"Thamnophis_sirtalis_GCF_001077635.1_read132"	"NW_013657811.1"
"Thamnophis_sirtalis_GCF_001077635.1_read133"	"NW_013657812.1"
"Thamnophis_sirtalis_GCF_001077635.1_read134"	"NW_013657813.1"
"Thamnophis_sirtalis_GCF_001077635.1_read135"	"NW_013657814.1"
"Thamnophis_sirtalis_GCF_001077635.1_read136"	"NW_013657815.1"
"Thamnophis_sirtalis_GCF_001077635.1_read137"	"NW_013657816.1"
"Thamnophis_sirtalis_GCF_001077635.1_read138"	"NW_013657817.1"
"Thamnophis_sirtalis_GCF_001077635.1_read139"	"NW_013657818.1"
"Thamnophis_sirtalis_GCF_001077635.1_read140"	"NW_013657819.1"
"Thamnophis_sirtalis_GCF_001077635.1_read141"	"NW_013657820.1"
"Thamnophis_sirtalis_GCF_001077635.1_read142"	"NW_013657821.1"
"Thamnophis_sirtalis_GCF_001077635.1_read143"	"NW_013657822.1"
"Thamnophis_sirtalis_GCF_001077635.1_read144"	"NW_013657823.1"
"Thamnophis_sirtalis_GCF_001077635.1_read145"	"NW_013657824.1"
"Thamnophis_sirtalis_GCF_001077635.1_read146"	"NW_013657825.1"
"Thamnophis_sirtalis_GCF_001077635.1_read147"	"NW_013657826.1"
"Thamnophis_sirtalis_GCF_001077635.1_read148"	"NW_013657827.1"
"Thamnophis_sirtalis_GCF_001077635.1_read149"	"NW_013657828.1"
"Thamnophis_sirtalis_GCF_001077635.1_read150"	"NW_013657829.1"
