seqsPerLocus samplesPerLocus
supergroup9338 2 2
supergroup9339 4 4
supergroup9340 14 14
supergroup9341 15 15
supergroup9342 12 12
supergroup9343 4 4
supergroup9344 14 14
supergroup9345 16 16
supergroup9346 8 8
supergroup9347 3 3
supergroup9348 3 3
supergroup9349 15 15
supergroup9350 7 7
supergroup9351 4 4
supergroup9352 5 5
supergroup9353 16 16
supergroup9354 10 10
supergroup9355 3 3
supergroup9356 3 3
supergroup9357 14 14
supergroup9358 3 3
supergroup9359 3 3
supergroup9360 12 12
supergroup9361 3 3
supergroup9362 13 13
supergroup9363 13 12
supergroup9364 13 13
supergroup9365 13 13
supergroup9367 13 13
supergroup9368 8 8
supergroup9369 3 3
supergroup9370 14 14
supergroup9371 3 3
supergroup9372 3 3
supergroup9373 7 7
supergroup9374 3 3
supergroup9375 8 7
supergroup9376 5 5
supergroup9377 8 8
supergroup9378 8 8
supergroup9379 5 5
supergroup9380 2 2
supergroup9381 16 16
supergroup9382 4 4
supergroup9383 24 19
supergroup9384 9 9
supergroup9385 16 16
supergroup9386 3 3
supergroup9387 4 4
supergroup9388 14 13
supergroup9389 44 42
supergroup9390 9 9
supergroup9391 8 8
supergroup9392 2 2
supergroup9393 2 2
supergroup9395 15 15
supergroup9396 4 4
supergroup9397 8 8
supergroup9398 4 4
supergroup9399 10 10
supergroup9400 11 11
supergroup9401 8 8
supergroup9402 10 10
supergroup9403 9 9
supergroup9404 3 3
supergroup9405 23 22
supergroup9407 11 11
supergroup9408 8 8
supergroup9409 9 9
supergroup9410 3 3
supergroup9411 20 20
supergroup9412 2 2
supergroup9413 2 2
supergroup9414 6 6
supergroup9416 7 6
supergroup9417 22 21
supergroup9419 5 5
supergroup9420 34 34
supergroup9421 9 9
supergroup9422 5 5
supergroup9423 14 14
supergroup9424 3 3
supergroup9425 6 6
supergroup9426 13 13
supergroup9427 5 5
supergroup9429 6 6
supergroup9430 3 3
supergroup9431 9 9
supergroup9433 3 3
supergroup9434 2 2
supergroup9435 3 3
supergroup9436 16 15
supergroup9437 10 10
supergroup9438 3 3
supergroup9439 2 2
supergroup9440 2 2
supergroup9441 14 14
supergroup9442 6 6
supergroup9443 5 5
supergroup9444 3 3
supergroup9445 6 6
supergroup9446 14 14
supergroup9447 2 2
supergroup9448 3 3
supergroup9449 5 5
supergroup9450 2 2
supergroup9451 4 4
supergroup9452 5 5
supergroup9453 6 6
supergroup9454 15 15
supergroup9455 11 11
supergroup9457 4 4
supergroup9458 9 9
supergroup9459 2 2
supergroup9460 2 2
supergroup9461 5 5
supergroup9462 2 2
supergroup9463 4 4
supergroup9464 2 2
supergroup9465 9 9
supergroup9466 3 3
supergroup9467 2 2
supergroup9468 3 3
supergroup9469 5 5
supergroup9470 15 15
supergroup9471 5 5
supergroup9472 10 10
supergroup9473 6 6
supergroup9474 12 12
supergroup9475 4 4
supergroup9476 12 12
supergroup9477 10 10
supergroup9478 3 3
supergroup9479 11 11
supergroup9480 5 5
supergroup9481 6 6
supergroup9482 29 23
supergroup9483 7 7
supergroup9484 3 3
supergroup9485 3 3
supergroup9486 21 20
supergroup9487 18 18
supergroup9489 10 10
supergroup9490 13 13
supergroup9491 9 9
supergroup9492 10 10
supergroup9493 3 3
supergroup9495 2 2
supergroup9496 2 2
supergroup9497 2 2
supergroup9498 3 3
supergroup9499 2 2
supergroup9500 3 3
supergroup9501 3 3
supergroup9502 4 4
supergroup9503 3 3
supergroup9504 9 9
supergroup9505 4 4
supergroup9506 4 4
supergroup9507 3 3
supergroup9509 2 2
supergroup9510 2 2
supergroup9512 14 12
supergroup9513 8 8
supergroup9514 17 16
supergroup9515 4 4
supergroup9516 2 2
supergroup9517 17 17
supergroup9518 13 13
supergroup9519 13 13
supergroup9520 7 7
supergroup9521 2 2
supergroup9522 11 11
supergroup9523 4 4
supergroup9524 10 9
supergroup9525 2 2
supergroup9526 7 7
supergroup9527 2 2
supergroup9528 29 26
supergroup9529 8 8
supergroup9530 18 18
supergroup9531 4 4
supergroup9532 9 8
supergroup9533 7 7
supergroup9534 6 6
supergroup9535 3 3
supergroup9536 5 5
supergroup9537 3 3
supergroup9538 11 11
supergroup9539 5 5
supergroup9540 10 10
supergroup9541 14 13
supergroup9542 7 7
supergroup9544 17 17
supergroup9545 14 14
supergroup9546 5 5
supergroup9547 2 2
supergroup9549 3 3
supergroup9550 3 3
supergroup9551 2 2
supergroup9552 5 5
supergroup9553 8 8
supergroup9554 8 8
supergroup9555 12 11
supergroup9556 13 12
supergroup9557 5 5
supergroup9558 7 6
supergroup9559 5 5
supergroup9560 22 22
supergroup9561 2 2
supergroup9562 2 2
supergroup9563 5 5
supergroup9564 2 2
supergroup9565 9 9
supergroup9567 2 2
supergroup9568 6 6
supergroup9569 2 2
supergroup9570 4 4
supergroup9571 2 2
supergroup9572 12 11
supergroup9573 3 3
supergroup9574 17 17
supergroup9575 2 2
supergroup9576 5 5
supergroup9577 3 3
supergroup9578 11 10
supergroup9579 2 2
supergroup9580 14 13
supergroup9581 2 2
supergroup9582 6 6
supergroup9583 3 3
supergroup9585 46 41
supergroup9586 13 12
supergroup9587 2 2
supergroup9588 3 3
supergroup9589 5 5
supergroup9590 9 9
supergroup9591 10 10
supergroup9592 2 2
supergroup9593 4 4
supergroup9594 2 2
supergroup9595 17 17
supergroup9596 12 12
supergroup9597 2 2
supergroup9598 3 3
supergroup9599 5 5
supergroup9600 10 10
supergroup9601 4 4
supergroup9602 11 11
supergroup9603 3 3
supergroup9604 16 15
supergroup9605 3 3
supergroup9606 19 19
supergroup9607 3 3
supergroup9608 5 5
supergroup9609 3 3
supergroup9610 37 30
supergroup9611 6 6
supergroup9612 2 2
supergroup9613 20 18
supergroup9614 26 26
supergroup9615 9 9
supergroup9616 3 3
supergroup9617 11 10
supergroup9618 2 2
supergroup9619 4 4
supergroup9620 2 2
supergroup9621 4 4
supergroup9622 4 4
supergroup9623 7 7
supergroup9624 12 11
supergroup9625 2 2
supergroup9626 2 2
supergroup9627 2 2
supergroup9628 6 6
supergroup9629 9 9
supergroup9630 8 8
supergroup9631 2 2
supergroup9632 9 9
supergroup9633 5 5
supergroup9634 12 12
supergroup9635 2 2
supergroup9636 6 4
supergroup9637 2 2
supergroup9638 29 29
supergroup9639 7 7
supergroup9640 8 8
supergroup9641 10 10
supergroup9642 3 3
supergroup9643 3 3
supergroup9644 2 2
supergroup9645 7 7
supergroup9646 9 9
supergroup9647 7 7
supergroup9648 3 3
supergroup9649 23 23
supergroup9650 21 21
supergroup9651 10 9
supergroup9652 2 2
supergroup9653 21 21
supergroup9654 23 22
supergroup9655 5 5
supergroup9656 13 13
supergroup9657 8 7
supergroup9659 4 4
supergroup9660 4 4
supergroup9661 11 11
supergroup9662 2 2
supergroup9663 3 3
supergroup9664 13 13
supergroup9666 33 32
supergroup9667 11 11
supergroup9668 20 19
supergroup9669 7 7
supergroup9670 12 12
supergroup9672 5 5
supergroup9673 2 2
supergroup9674 5 5
supergroup9675 10 10
supergroup9676 3 3
supergroup9677 29 29
supergroup9678 4 4
supergroup9679 4 4
supergroup9680 12 11
supergroup9682 10 10
supergroup9683 6 6
supergroup9684 3 3
supergroup9685 8 8
supergroup9686 3 3
supergroup9687 3 3
supergroup9688 8 8
supergroup9689 3 3
supergroup9690 13 13
supergroup9692 2 2
supergroup9693 6 6
supergroup9694 7 7
supergroup9695 6 6
supergroup9696 2 2
supergroup9697 11 11
supergroup9698 12 12
supergroup9699 2 2
supergroup9700 28 28
supergroup9701 9 9
supergroup9702 6 6
supergroup9703 4 4
supergroup9704 2 2
supergroup9705 3 3
supergroup9706 4 4
supergroup9707 3 3
supergroup9708 8 8
supergroup9709 2 2
supergroup9710 6 6
supergroup9711 2 2
supergroup9712 10 10
supergroup9713 17 17
supergroup9714 9 9
supergroup9715 5 4
supergroup9716 25 25
supergroup9717 2 2
supergroup9718 4 4
supergroup9719 16 16
supergroup9720 6 6
supergroup9721 14 14
supergroup9722 3 3
supergroup9723 2 2
supergroup9724 3 3
supergroup9725 4 4
supergroup9726 28 25
supergroup9727 2 2
supergroup9728 4 4
supergroup9729 3 3
supergroup9730 4 4
supergroup9731 16 14
supergroup9732 15 11
supergroup9733 3 3
supergroup9734 5 4
supergroup9735 2 2
supergroup9736 13 13
supergroup9737 2 2
supergroup9738 3 3
supergroup9739 4 4
supergroup9741 4 4
supergroup9742 2 2
supergroup9743 9 9
supergroup9744 2 2
supergroup9745 17 16
supergroup9746 4 4
supergroup9747 14 14
supergroup9748 8 8
supergroup9749 2 2
supergroup9750 2 2
supergroup9751 2 2
supergroup9752 2 2
supergroup9753 6 6
supergroup9754 4 4
supergroup9755 11 11
supergroup9756 35 31
supergroup9757 2 2
supergroup9758 21 21
supergroup9759 2 2
supergroup9760 4 4
supergroup9761 4 4
supergroup9762 4 4
supergroup9763 6 6
supergroup9764 9 9
supergroup9765 3 3
supergroup9766 23 23
supergroup9767 7 7
supergroup9769 3 3
supergroup9770 38 37
supergroup9771 3 3
supergroup9772 2 2
supergroup9773 2 2
supergroup9774 32 32
supergroup9776 4 4
supergroup9777 2 2
supergroup9778 9 9
supergroup9779 17 17
supergroup9780 5 5
supergroup9781 4 4
supergroup9782 11 11
supergroup9783 3 3
supergroup9784 3 3
supergroup9785 3 3
supergroup9786 4 4
supergroup9787 15 14
supergroup9788 12 12
supergroup9789 2 2
supergroup9790 2 2
supergroup9792 14 14
supergroup9793 7 7
supergroup9794 3 3
supergroup9795 4 4
supergroup9796 2 2
supergroup9797 4 4
supergroup9798 5 5
supergroup9799 29 29
supergroup9800 2 2
supergroup9801 3 3
supergroup9802 11 11
supergroup9803 16 14
supergroup9804 13 13
supergroup9805 8 7
supergroup9806 2 2
supergroup9807 12 12
supergroup9808 4 4
supergroup9809 14 14
supergroup9810 2 2
supergroup9811 6 6
supergroup9812 4 4
supergroup9813 3 3
supergroup9814 2 2
supergroup9815 4 4
supergroup9816 10 10
supergroup9817 3 3
supergroup9819 11 10
supergroup9821 25 25
supergroup9822 2 2
supergroup9823 3 3
supergroup9824 4 4
supergroup9826 7 7
supergroup9828 10 10
supergroup9829 22 22
supergroup9830 22 21
supergroup9831 4 4
supergroup9832 11 11
supergroup9833 4 4
supergroup9834 7 7
supergroup9835 3 3
supergroup9836 5 5
supergroup9837 2 2
supergroup9838 2 2
supergroup9839 8 8
supergroup9840 2 2
supergroup9841 3 3
supergroup9842 29 28
supergroup9843 9 9
supergroup9844 8 8
supergroup9845 2 2
supergroup9846 2 2
supergroup9847 2 2
supergroup9848 16 16
supergroup9849 2 2
supergroup9850 14 11
supergroup9851 3 3
supergroup9852 2 2
supergroup9853 5 5
supergroup9854 7 7
supergroup9855 3 3
supergroup9856 2 2
supergroup9858 24 24
supergroup9860 4 4
supergroup9861 10 10
supergroup9862 29 28
supergroup9863 2 2
supergroup9864 3 3
supergroup9865 9 9
supergroup9867 9 9
supergroup9868 2 2
supergroup9869 3 3
supergroup9870 5 5
supergroup9871 4 4
supergroup9872 3 3
supergroup9874 5 5
supergroup9875 10 9
supergroup9876 2 2
supergroup9877 12 12
supergroup9878 4 4
supergroup9879 2 2
supergroup9880 7 6
supergroup9881 8 8
supergroup9882 21 21
supergroup9884 4 4
supergroup9885 9 8
supergroup9886 10 10
supergroup9887 16 16
supergroup9888 19 18
supergroup9889 3 3
supergroup9890 4 4
supergroup9891 16 16
supergroup9892 7 7
supergroup9893 23 20
supergroup9894 3 3
supergroup9895 3 3
supergroup9896 29 29
supergroup9897 2 2
supergroup9898 2 2
supergroup9899 4 4
supergroup9900 6 6
supergroup9901 31 31
supergroup9902 2 2
supergroup9903 13 12
supergroup9904 2 2
supergroup9905 3 3
supergroup9906 25 25
supergroup9907 6 6
supergroup9908 2 2
supergroup9909 7 7
supergroup9911 2 2
supergroup9912 2 2
supergroup9913 9 9
supergroup9914 2 2
supergroup9915 2 2
supergroup9916 14 14
supergroup9917 3 3
supergroup9918 4 4
supergroup9919 4 4
supergroup9920 2 2
supergroup9921 7 7
supergroup9922 31 31
supergroup9923 4 4
supergroup9924 2 2
supergroup9925 13 13
supergroup9927 2 2
supergroup9928 7 7
supergroup9929 4 4
supergroup9930 3 3
supergroup9931 13 13
supergroup9932 2 2
supergroup9933 4 4
supergroup9934 4 4
supergroup9935 14 14
supergroup9936 7 6
supergroup9937 11 11
supergroup9938 3 3
supergroup9939 4 4
supergroup9940 5 5
supergroup9941 6 6
supergroup9942 3 3
supergroup9943 7 7
supergroup9944 4 4
supergroup9945 2 2
supergroup9946 10 10
supergroup9947 2 2
supergroup9948 15 15
supergroup9949 5 5
supergroup9950 3 3
supergroup9951 2 2
supergroup9952 18 18
supergroup9953 2 2
supergroup9954 3 3
supergroup9955 6 6
supergroup9956 7 6
supergroup9958 4 4
supergroup9959 2 2
supergroup9960 3 3
supergroup9961 4 4
supergroup9962 2 2
supergroup9963 7 7
supergroup9964 3 3
supergroup9965 4 4
supergroup9966 6 5
supergroup9967 3 3
supergroup9968 3 3
supergroup9969 2 2
supergroup9972 2 2
supergroup9973 4 4
supergroup9974 9 9
supergroup9975 3 3
supergroup9976 2 2
supergroup9977 3 3
supergroup9978 8 8
supergroup9979 13 13
supergroup9980 21 21
supergroup9981 7 6
supergroup9982 2 2
supergroup9983 2 2
supergroup9984 6 6
supergroup9985 11 11
supergroup9986 3 3
supergroup9987 2 2
supergroup9988 2 2
supergroup9989 4 4
supergroup9990 6 5
supergroup9991 2 2
supergroup9992 4 4
supergroup9993 4 4
supergroup9994 2 2
supergroup9995 8 8
supergroup9996 5 5
supergroup9997 6 6
supergroup9998 16 14
supergroup9999 6 6
supergroup10000 2 2
supergroup10002 4 4
supergroup10004 4 4
supergroup10005 3 3
supergroup10006 7 7
supergroup10008 2 2
supergroup10009 3 3
supergroup10010 5 5
supergroup10013 2 2
supergroup10014 4 4
supergroup10016 3 3
supergroup10018 4 4
supergroup10019 2 2
supergroup10021 11 11
supergroup10022 7 7
supergroup10023 4 4
supergroup10024 2 2
supergroup10026 6 6
supergroup10027 12 11
supergroup10028 4 4
supergroup10030 3 3
supergroup10031 3 3
supergroup10033 3 3
supergroup10034 2 2
supergroup10037 2 2
supergroup10038 12 12
supergroup10039 3 3
supergroup10041 6 6
supergroup10042 7 7
supergroup10043 7 7
supergroup10044 5 5
supergroup10045 4 4
supergroup10046 3 3
supergroup10049 4 4
supergroup10052 4 4
supergroup10053 2 2
supergroup10054 3 3
supergroup10055 9 9
supergroup10056 2 2
supergroup10057 2 2
supergroup10058 5 5
supergroup10059 5 5
supergroup10060 2 2
supergroup10061 2 2
supergroup10062 2 2
supergroup10063 2 2
supergroup10064 20 18
supergroup10067 7 7
supergroup10068 2 2
supergroup10069 4 4
supergroup10070 2 2
supergroup10072 2 2
supergroup10074 3 3
supergroup10077 3 3
supergroup10078 5 5
supergroup10081 4 4
supergroup10082 2 2
supergroup10083 2 2
supergroup10085 9 9
supergroup10086 2 2
supergroup10090 2 2
supergroup10091 9 9
supergroup10093 4 4
supergroup10094 2 2
supergroup10095 2 2
supergroup10097 4 4
supergroup10098 2 2
supergroup10099 2 2
supergroup10100 2 2
supergroup10101 3 3
supergroup10102 11 11
supergroup10103 2 2
supergroup10104 11 11
supergroup10106 3 3
supergroup10107 2 2
supergroup10109 4 4
supergroup10110 2 2
supergroup10111 4 4
supergroup10115 12 12
supergroup10116 2 2
supergroup10117 5 5
supergroup10118 2 2
supergroup10121 4 4
supergroup10122 9 9
supergroup10123 9 9
supergroup10124 2 2
supergroup10125 2 2
supergroup10126 2 2
supergroup10127 3 3
supergroup10128 8 8
supergroup10130 2 2
supergroup10131 4 4
supergroup10133 5 5
supergroup10135 8 8
supergroup10136 3 3
supergroup10139 4 4
supergroup10140 4 4
supergroup10144 2 2
supergroup10145 2 2
supergroup10146 3 3
supergroup10147 2 2
supergroup10148 2 2
supergroup10149 3 3
supergroup10150 3 3
supergroup10151 3 3
supergroup10152 3 3
supergroup10155 2 2
supergroup10156 3 3
supergroup10158 6 6
supergroup10159 2 2
supergroup10161 3 3
supergroup10162 3 3
supergroup10163 2 2
supergroup10164 2 2
supergroup10166 2 2
supergroup10167 4 4
supergroup10168 7 7
supergroup10169 2 2
supergroup10170 2 2
supergroup10171 2 2
supergroup10172 2 2
supergroup10173 3 3
supergroup10174 2 2
supergroup10175 2 2
supergroup10178 3 2
supergroup10179 2 2
supergroup10180 2 2
supergroup10181 2 2
supergroup10182 2 2
supergroup10183 2 2
supergroup10184 2 2
supergroup10185 2 2
supergroup10186 2 2
supergroup10187 2 2
supergroup10188 2 2
supergroup10189 2 2
supergroup10190 2 2
supergroup10191 2 2
supergroup10192 2 2
supergroup10193 2 2
supergroup10194 2 2
supergroup10195 2 2
supergroup10196 2 2
supergroup10197 2 2
supergroup10198 2 2
supergroup10199 11 11
supergroup10200 2 2
supergroup10201 2 2
supergroup10202 2 2
supergroup10203 2 2
supergroup10204 2 2
supergroup10205 2 2
supergroup10207 2 2
supergroup10208 2 2
supergroup10209 2 2
supergroup10210 2 2
supergroup10211 3 2
supergroup10213 2 2
supergroup10214 2 2
supergroup10215 2 2
supergroup10216 2 2
supergroup10217 2 2
supergroup10218 4 4
supergroup10219 2 2
supergroup10220 2 2
supergroup10221 2 2
supergroup10222 2 2
supergroup10223 2 2
supergroup10224 4 4
supergroup10225 11 11
supergroup10226 2 2
supergroup10227 2 2
supergroup10228 2 2
supergroup10229 3 3
supergroup10230 2 2
supergroup10231 2 2
supergroup10232 2 2
supergroup10233 2 2
supergroup10234 2 2
supergroup10235 2 2
supergroup10236 2 2
supergroup10237 4 4
supergroup10238 2 2
supergroup10242 6 6
supergroup10244 2 2
supergroup10245 2 2
supergroup10246 2 2
supergroup10247 2 2
supergroup10249 2 2
supergroup10250 2 2
supergroup10251 7 7
supergroup10253 2 2
supergroup10254 2 2
supergroup10255 2 2
supergroup10256 2 2
supergroup10257 2 2
supergroup10258 15 14
supergroup10259 3 3
supergroup10260 2 2
supergroup10261 2 2
supergroup10262 2 2
supergroup10263 2 2
supergroup10264 2 2
supergroup10265 5 5
supergroup10266 2 2
supergroup10267 2 2
supergroup10268 2 2
supergroup10269 2 2
supergroup10270 2 2
supergroup10271 2 2
supergroup10272 2 2
supergroup10274 2 2
supergroup10275 2 2
supergroup10276 2 2
supergroup10277 3 3
supergroup10278 2 2
supergroup10279 14 14
supergroup10280 2 2
supergroup10281 2 2
supergroup10282 2 2
supergroup10283 2 2
supergroup10284 2 2
supergroup10285 3 3
supergroup10286 2 2
supergroup10287 3 3
supergroup10288 2 2
supergroup10289 2 2
supergroup10290 2 2
supergroup10291 2 2
supergroup10292 2 2
supergroup10293 2 2
supergroup10294 3 3
supergroup10295 6 6
supergroup10297 2 2
supergroup10298 2 2
supergroup10299 2 2
supergroup10300 2 2
supergroup10301 2 2
supergroup10302 7 7
supergroup10303 2 2
supergroup10304 3 3
supergroup10305 2 2
supergroup10306 2 2
supergroup10307 2 2
supergroup10308 2 2
supergroup10309 7 7
supergroup10311 2 2
supergroup10312 2 2
supergroup10313 2 2
supergroup10314 2 2
supergroup10315 2 2
supergroup10317 2 2
supergroup10318 2 2
supergroup10319 2 2
supergroup10320 4 4
supergroup10321 2 2
supergroup10322 2 2
supergroup10323 2 2
supergroup10324 2 2
supergroup10325 4 4
supergroup10327 4 4
supergroup10328 2 2
supergroup10329 2 2
supergroup10330 2 2
supergroup10332 2 2
supergroup10333 3 3
supergroup10334 2 2
supergroup10335 2 2
supergroup10336 4 4
supergroup10337 2 2
supergroup10338 2 2
supergroup10339 2 2
supergroup10340 2 2
supergroup10341 3 3
supergroup10342 2 2
supergroup10343 2 2
supergroup10344 2 2
supergroup10345 3 3
supergroup10347 2 2
supergroup10348 2 2
supergroup10349 2 2
supergroup10350 2 2
supergroup10351 2 2
supergroup10353 3 2
supergroup10354 2 2
supergroup10355 2 2
supergroup10356 2 2
supergroup10357 2 2
supergroup10358 2 2
supergroup10359 2 2
supergroup10360 2 2
supergroup10361 2 2
supergroup10362 7 7
supergroup10363 2 2
supergroup10364 2 2
supergroup10365 2 2
supergroup10366 2 2
supergroup10367 4 4
supergroup10368 2 2
supergroup10369 3 3
supergroup10371 2 2
supergroup10374 2 2
supergroup10375 2 2
supergroup10376 2 2
supergroup10377 15 15
supergroup10378 2 2
supergroup10379 2 2
supergroup10380 2 2
supergroup10381 3 3
supergroup10382 2 2
seqsPerLocus samplesPerLocus
supergroup10383 2 2
supergroup10384 2 2
supergroup10386 2 2
supergroup10387 2 2
supergroup10388 3 3
supergroup10389 2 2
supergroup10390 4 4
supergroup10391 2 2
supergroup10392 2 2
supergroup10393 2 2
supergroup10394 2 2
supergroup10395 2 2
supergroup10396 2 2
supergroup10397 4 4
supergroup10398 2 2
supergroup10400 2 2
supergroup10402 2 2
supergroup10403 2 2
supergroup10404 2 2
supergroup10405 2 2
supergroup10406 2 2
supergroup10408 2 2
supergroup10410 8 8
supergroup10412 2 2
supergroup10414 3 3
supergroup10415 2 2
supergroup10417 2 2
supergroup10418 2 2
supergroup10419 2 2
supergroup10420 2 2
supergroup10421 8 8
supergroup10422 2 2
supergroup10423 2 2
supergroup10424 2 2
supergroup10425 2 2
supergroup10426 2 2
supergroup10427 2 2
supergroup10428 2 2
supergroup10429 2 2
supergroup10430 2 2
supergroup10431 3 3
supergroup10432 6 6
supergroup10433 2 2
supergroup10436 2 2
supergroup10437 2 2
supergroup10438 2 2
supergroup10439 2 2
supergroup10441 2 2
supergroup10442 4 4
supergroup10443 2 2
supergroup10445 2 2
supergroup10446 4 4
supergroup10447 2 2
supergroup10448 3 3
supergroup10449 2 2
supergroup10450 2 2
supergroup10451 2 2
supergroup10452 2 2
supergroup10453 11 11
supergroup10454 2 2
supergroup10455 2 2
supergroup10456 3 3
supergroup10457 2 2
supergroup10458 10 10
supergroup10459 6 6
supergroup10460 2 2
supergroup10461 2 2
supergroup10462 2 2
supergroup10463 2 2
supergroup10464 4 4
supergroup10465 2 2
supergroup10466 2 2
supergroup10467 2 2
supergroup10468 2 2
supergroup10469 3 3
supergroup10470 2 2
supergroup10471 2 2
supergroup10472 3 3
supergroup10473 2 2
supergroup10474 2 2
supergroup10475 2 2
supergroup10477 2 2
supergroup10478 2 2
supergroup10479 2 2
supergroup10480 2 2
supergroup10481 2 2
supergroup10482 2 2
supergroup10483 2 2
supergroup10484 2 2
supergroup10485 2 2
supergroup10486 9 9
supergroup10487 9 9
supergroup10488 2 2
supergroup10489 2 2
supergroup10490 2 2
supergroup10491 14 12
supergroup10492 2 2
supergroup10493 2 2
supergroup10494 2 2
supergroup10495 3 3
supergroup10496 2 2
supergroup10497 2 2
supergroup10498 2 2
supergroup10499 2 2
supergroup10500 2 2
supergroup10501 2 2
supergroup10502 3 3
supergroup10503 2 2
supergroup10504 2 2
supergroup10505 2 2
supergroup10506 5 5
supergroup10507 8 8
supergroup10508 2 2
supergroup10511 2 2
supergroup10512 14 13
supergroup10513 2 2
supergroup10514 3 3
supergroup10515 15 15
supergroup10516 2 2
supergroup10517 2 2
supergroup10518 3 3
supergroup10519 4 4
supergroup10520 2 2
supergroup10521 2 2
supergroup10522 2 2
supergroup10523 2 2
supergroup10524 2 2
supergroup10525 6 6
supergroup10526 4 4
supergroup10527 27 27
supergroup10528 2 2
supergroup10529 2 2
supergroup10530 2 2
supergroup10531 2 2
supergroup10532 4 4
supergroup10533 7 7
supergroup10534 2 2
supergroup10535 2 2
supergroup10536 2 2
supergroup10537 3 3
supergroup10538 2 2
supergroup10539 3 3
supergroup10540 2 2
supergroup10541 2 2
supergroup10542 2 2
supergroup10543 2 2
supergroup10544 2 2
supergroup10545 2 2
supergroup10546 2 2
supergroup10547 3 3
supergroup10548 2 2
supergroup10549 10 10
supergroup10550 7 7
supergroup10551 9 7
supergroup10552 11 11
supergroup10553 2 2
supergroup10554 2 2
supergroup10555 2 2
supergroup10556 2 2
supergroup10557 3 3
supergroup10558 3 3
supergroup10559 4 4
supergroup10560 2 2
supergroup10561 8 8
supergroup10562 2 2
supergroup10563 2 2
supergroup10564 7 7
supergroup10565 2 2
supergroup10566 2 2
supergroup10567 2 2
supergroup10568 12 12
supergroup10569 2 2
supergroup10570 5 5
supergroup10571 2 2
supergroup10572 5 5
supergroup10573 4 4
supergroup10574 2 2
supergroup10575 2 2
supergroup10576 2 2
supergroup10577 2 2
supergroup10578 4 4
supergroup10580 3 3
supergroup10581 10 10
supergroup10584 3 3
supergroup10585 8 8
supergroup10586 9 9
supergroup10588 2 2
supergroup10589 6 6
supergroup10590 2 2
supergroup10591 2 2
supergroup10592 4 4
supergroup10593 6 5
supergroup10594 25 25
supergroup10595 2 2
supergroup10596 2 2
supergroup10597 13 13
supergroup10598 2 2
supergroup10599 3 3
supergroup10600 8 8
supergroup10601 4 4
supergroup10602 18 18
supergroup10603 3 3
supergroup10604 2 2
supergroup10605 4 4
supergroup10606 9 9
supergroup10607 2 2
supergroup10609 4 4
supergroup10610 11 11
supergroup10611 22 21
supergroup10612 6 6
supergroup10614 3 3
supergroup10615 7 7
supergroup10616 3 3
supergroup10617 12 12
supergroup10618 4 4
supergroup10619 2 2
supergroup10620 2 2
supergroup10621 8 8
supergroup10622 2 2
supergroup10623 3 3
supergroup10624 7 7
supergroup10625 7 7
supergroup10626 5 5
supergroup10628 9 9
supergroup10629 20 20
supergroup10630 20 18
supergroup10631 16 16
supergroup10632 2 2
supergroup10633 12 10
supergroup10634 22 19
supergroup10635 4 4
supergroup10636 3 3
supergroup10637 4 4
supergroup10638 28 28
supergroup10639 2 2
supergroup10640 7 7
supergroup10641 3 3
supergroup10642 10 10
supergroup10643 3 3
supergroup10644 4 4
supergroup10645 21 21
supergroup10646 9 9
supergroup10647 13 13
supergroup10648 9 9
supergroup10649 3 3
supergroup10650 7 7
supergroup10651 8 8
supergroup10652 16 16
supergroup10653 9 9
supergroup10654 2 2
supergroup10655 2 2
supergroup10657 4 4
supergroup10658 5 5
supergroup10659 4 4
supergroup10660 5 5
supergroup10661 8 8
supergroup10662 4 4
supergroup10663 3 3
supergroup10664 5 5
supergroup10665 10 10
supergroup10666 3 3
supergroup10667 3 3
supergroup10668 3 3
supergroup10669 2 2
supergroup10670 7 7
supergroup10671 2 2
supergroup10672 11 11
supergroup10673 5 5
supergroup10674 5 5
supergroup10675 33 33
supergroup10676 7 7
supergroup10677 34 29
supergroup10678 4 4
supergroup10679 6 6
supergroup10680 3 3
supergroup10681 3 3
supergroup10683 16 16
supergroup10684 2 2
supergroup10685 10 10
supergroup10686 5 5
supergroup10687 2 2
supergroup10689 2 2
supergroup10690 5 5
supergroup10691 5 5
supergroup10692 16 15
supergroup10694 8 8
supergroup10695 3 3
supergroup10696 19 17
supergroup10697 2 2
supergroup10698 4 4
supergroup10699 14 13
supergroup10700 2 2
supergroup10701 3 3
supergroup10702 6 6
supergroup10704 2 2
supergroup10705 9 9
supergroup10706 8 8
supergroup10707 2 2
supergroup10708 3 3
supergroup10709 4 4
supergroup10710 2 2
supergroup10711 5 5
supergroup10712 14 14
supergroup10713 4 4
supergroup10714 7 7
supergroup10715 7 7
supergroup10716 3 3
supergroup10717 2 2
supergroup10718 34 30
supergroup10719 9 9
supergroup10720 4 4
supergroup10721 7 7
supergroup10722 16 16
supergroup10723 2 2
supergroup10725 2 2
supergroup10726 6 6
supergroup10727 2 2
supergroup10728 2 2
supergroup10729 3 3
supergroup10730 3 3
supergroup10731 2 2
supergroup10732 13 13
supergroup10733 9 9
supergroup10734 2 2
supergroup10735 6 6
supergroup10737 14 12
supergroup10738 4 4
supergroup10739 2 2
supergroup10740 9 9
supergroup10741 2 2
supergroup10742 2 2
supergroup10743 3 3
supergroup10744 2 2
supergroup10745 8 8
supergroup10746 2 2
supergroup10747 3 3
