seqsPerLocus samplesPerLocus
supergroup319 31 31
supergroup320 34 34
supergroup321 185 35
supergroup322 36 34
supergroup323 35 35
supergroup324 33 33
supergroup325 66 34
supergroup326 33 33
supergroup327 35 33
supergroup328 35 35
supergroup329 138 63
supergroup330 35 35
supergroup331 73 35
supergroup332 35 35
supergroup333 42 40
supergroup334 35 35
supergroup335 35 35
supergroup336 47 29
supergroup337 34 34
supergroup338 35 35
supergroup339 35 35
supergroup340 54 42
supergroup341 43 35
supergroup342 37 35
supergroup343 35 35
supergroup344 41 35
supergroup345 27 27
supergroup346 61 35
supergroup347 97 35
supergroup348 37 34
supergroup349 35 35
supergroup350 35 35
supergroup351 45 35
supergroup352 36 35
supergroup353 68 35
supergroup354 30 30
supergroup355 53 35
supergroup356 35 35
supergroup357 35 35
supergroup358 50 48
supergroup359 34 34
supergroup360 62 35
supergroup361 35 35
supergroup362 35 35
supergroup363 58 39
supergroup364 56 35
supergroup365 50 35
supergroup366 45 34
supergroup367 68 35
supergroup368 36 35
supergroup369 28 28
supergroup370 35 35
supergroup371 74 35
supergroup372 68 35
supergroup373 35 35
supergroup374 100 35
supergroup375 48 41
supergroup376 35 35
supergroup377 50 34
supergroup378 50 35
supergroup379 12 10
supergroup380 41 35
supergroup381 57 49
supergroup382 33 33
supergroup383 35 35
supergroup384 45 34
supergroup385 35 35
supergroup386 35 35
supergroup387 37 35
supergroup388 54 35
supergroup389 34 34
supergroup390 32 32
supergroup391 35 35
supergroup392 98 35
supergroup393 34 34
supergroup394 31 31
supergroup395 35 35
supergroup396 35 35
supergroup397 35 35
supergroup398 40 36
supergroup399 173 35
supergroup400 35 35
supergroup401 34 34
supergroup402 36 35
supergroup403 69 34
supergroup404 31 31
supergroup405 36 35
supergroup406 131 35
supergroup407 35 35
supergroup408 35 35
supergroup409 41 35
supergroup410 35 35
supergroup411 45 35
supergroup412 52 33
supergroup413 90 34
supergroup414 35 35
supergroup415 35 35
supergroup416 107 63
supergroup417 33 33
supergroup418 35 35
supergroup419 34 33
supergroup420 58 45
supergroup421 79 35
supergroup422 35 35
supergroup423 44 40
supergroup424 35 35
supergroup425 35 35
supergroup426 35 35
supergroup427 35 35
supergroup428 35 35
supergroup429 35 35
supergroup430 35 35
supergroup431 60 35
supergroup432 35 35
supergroup433 34 34
supergroup434 32 32
supergroup435 97 35
supergroup436 34 34
supergroup437 36 33
supergroup438 35 35
supergroup439 54 35
supergroup440 35 35
supergroup441 68 35
supergroup442 34 34
supergroup443 41 39
supergroup444 65 35
supergroup445 40 37
supergroup446 38 36
supergroup447 128 35
supergroup448 35 34
supergroup449 35 35
supergroup450 34 34
supergroup451 35 35
supergroup452 33 33
supergroup453 34 33
supergroup454 168 35
supergroup455 35 35
supergroup456 44 35
supergroup457 35 35
supergroup458 37 35
supergroup459 35 35
supergroup460 55 46
supergroup461 34 34
supergroup462 35 35
supergroup463 13 13
supergroup464 35 35
supergroup465 44 35
supergroup466 35 35
supergroup467 33 33
supergroup468 35 35
supergroup469 37 35
supergroup470 35 35
supergroup471 61 35
supergroup472 35 35
supergroup473 13 13
supergroup474 22 22
supergroup475 43 41
supergroup476 36 34
supergroup477 85 55
supergroup478 35 35
supergroup479 63 59
supergroup480 34 34
supergroup481 35 35
supergroup482 37 34
supergroup483 103 35
supergroup484 35 35
supergroup485 35 35
supergroup486 102 36
supergroup487 35 35
supergroup488 61 57
supergroup489 77 40
supergroup490 73 34
supergroup491 39 37
supergroup492 43 34
supergroup493 41 35
supergroup494 57 35
